@Αἰγίλιψ|a district, or island, under the rule of Odysseus
@Αἰγιαλός|(‘Coast-land’): (1) a district in N. Peloponnesus, afterward Achaea
@Αἰνόθεν|from Aenus
@Αἴθρη|mother of Theseus, follows Helen as captive to Troy
@Αἴθων|(1) a name assumed by Odysseus, “Αἴθη”
@Αἵμων|a comrade of Nestor
@Βῆσσα|a town in Locris
@Γραῖα|a town in Boeotia
@ΔΑ|teach; learn, be instructed
@Δόλιος|a slave of Penelope
@Δῆλος|Delos
@Δῖος|a son of Priam
@Εὔμηλος|Eumēlus
@Εὖρος|Eurus
@Θάλεια|(‘Bloomer’): a Nereid
@Θρύον|and “Θρυόεσσα”
@Κάρ|Carians
@Καλήτωρ|(1) son of Clytius, cousin of Hector, slain by Ajax
@Κελάδων|a stream in Elis
@Κοίρανος|(1) a Lycian, slain by Odysseus
@Κρείων|Creon
@Κῆρ|angel of death; fates; Moira or Aisa
@Μάκαρ|son of Aeolus, ruling in Lesbos
@Μέδων|(1) son of Oī¨leus, stepbrother of Ajax, from Phylace, chief of the warriors from Methōne in Phthia, “361”
@Μέλας|son of Portheus
@Μέρμερος|a Mysian, slain by Antilochus
@Μέροψ|a seer and ruler in Percōte on the Hellespont, father of Adrastus and Amphīus
@Μήστωρ|a son of Priam
@Νήριτος|an Ithacan
@Νημερτής|a Nereid
@Νοήμων|(1) a Lycian, slain by Odysseus
@Νύμφη|nymph
@Οἶνοψ|an Ithacan, the father of Liōdes
@Πήδασος1|(1) a town of the Leleges in the Troad, on the Satnioeis, destroyed by Achilles
@Πήδασος2|(1) a Trojan, the son of Bucolion, slain by Euryalus
@Πήδασος|(1) a town of the Leleges in the Troad, on the Satnioeis, destroyed by Achilles
@Παιήων|Paean
@Παρθένιος|a river in Paphlagonia
@Ποδάρκης|son of Iphiclus, brother of Protesilāus, chief of the contingent from Phylace and Pyrasus
@Πολίτης|(1) a son of Priam
@Πολύδωρος|(1) the youngest son of Priam by Laothoe, slain by Achilles, “419, Φ 91”
@Πολύμηλος|a Lycian, son of Argeas, slain by Patroclus
@Πολύφημος|Polyphēmus
@Πρόμαχος|son of Alegēnor, a Boeotian chief
@Πυλάρτης|the name of two Trojans, one overcome by Ajax
@Πύλος|Pylos
@Σιδών1|Sidon
@Σιδών2|Sidonians
@Σιδών|Sidon
@Σκῶλος|a place in Boeotia
@Σχοῖνος|a town on a river of the same name in Boeotia
@Σῶκος|a Trojan, the son of Hippasus, slain by Odysseus
@Τάφος|Taphos
@Τέκτων|the father of Phereclus
@Τελαμών|Telamon
@Φαέθων|name of a steed of Eos
@Φαίδιμος|king of the Sidonians
@Φοῖνιξ|Phoenix
@Φρόντις1|, “ιδος”
@Φρόντις2|, “ιος”
@Φρόντις|, “ιδος”
@Φύλακος|(1) the father of Iphiclus
@Χάρις|Graces
@Χίμαιρα|Chimaera
@Χαλκίς|Chalcis
@Χείρων|Chiron
@αἰγίλιψ|precipitous
@αἰγιαλός|beach, strand
@αἰνόθεν|direst of the dire
@αἴθρη|clear sky, serenity
@αἴθων|shining, tawny
@αἵμων|skilled in
@αὔω1|kindle
@αὔω2|call aloud; halloo; resound, ring
@αὔω|kindle
@βῆσσα|glen, ravine
@γραῖα|old woman
@δα|an inseparable prefix, with intensive meaning, cf. “δά-σκιος”
@δαΐ1|pray
@δαΐ2|see “δαΐς”
@δαΐ|pray
@δαΐς1|torch
